6.22E+12,amrizole 500,15,8,1/5/2024,5
6.22E+12,quitapex 100mg,166,55,8/1/2026,2
6.22E+12,quitapex 25mg,63,21,1/8/2026,2
6.22E+12,quitapex 25mg,255,85,23/4/2026,2
,royal zed,80,40,1/10/2025,1
6.22E+12,rinoopro,31,16,1/6/2027,1
6.22E+12,Ruta C60,16,8,1/1/2026,7
6.22E+12,Royal Vit G ,90,45,23-10-2026,3
,Rancif ,50,50,23-9-2026,5
6.22E+12,Roxogesic,53,27,23/8/2026,1
,Relaxon ,40.5,13.5,1/1/2026,1
6.22E+12,Rumaximap,66,66,1/9/2025,2
6.22E+12,Reparil 40 mg,44,11,1/10/2025,2
6.22E+12,Rivarospire,196,98,21/6/2024,1
6.23E+12,Recoxibright 60 mg ,128,64,23/7/2025,4
6.22E+12,Rowatinaex ,46.5,22,1/6/2026,3
6.22E+12,rame-zithro,59,20,23/10/2026,1
6.22E+12,Regcor,11,11,1/8/2026,7
6.22E+12,Rivarospire ,78,26,1/5/2026,2
,zithrokan,53.5,53.5,1/1/2027,5
6.22E+12,zinctron,90,30,1/3/2025,2
6.22E+12,zisrocin,49,49,1/10/2026,5
6.22E+12,zyrtec,65,28,1/10/2026,3
6.22E+12,zurcal 20mg,50,25,1/11/2025,3
6.22E+12,zurcal 40mg,55,55,22/12/2025,3
6.22E+12,zovirax 400,33,33,1/6/2026,1
,zithromax 500mg,85,28.5,1/5/2025,6
6.22E+12,zanoglide,73.5,25,1/10/2026,1
6.22E+12,zanoglide,57.5,20,1/11/2026,1
,zadoglbin,75,37.5,23/11/2025,3
6.22E+12,zandros,85,42.5,23/10/2026,2
6.09E+12,zyloric 300mg,39.5,13,1/9/2026,1
6.23E+12,Recoxibright 90 mg ,204,68,1/11/2025,3
6.22E+12,Rhinopro,21,42,23/10/2028,2
6.22E+12,ULTRASOLV ,14.25,14.25,1/7/2026,2
6.22E+12,Winzoxib 60,104,52.25,23/5/2025,1
6.22E+12,Winzoxib 90,104,52.25,23/7/2025,1
6.22E+12,winzoxib 120,57,57,23/7/2025,1
6.22E+12,windipine 5mg,21,7,1/6/2026,1
6.22E+12,utrocare 100mg ,84,28,23/5/2026,1
