"6.223E+12	alveolin-p	35		23/10/2026	2"
"6.223E+12	augram   228.mg	39		1/8/2025	"
"6.223E+12	augram 457mg	47		1/82025	1"
"6.22401E+12	Averozolid	74		29/9/2026	1"
"6.22401E+12	averoios 642.9mg	82.5		1/10/2026	3"
"6.223E+12	aqua plus	30		23/7/2026	4"
"6.22106E+12	allergyl	17.5		23/7/2026	6"
"6.22108E+12	amrizole	17.5		23/12/2025	5"
"6.22103E+12	apidonne	15		1/11/2025	5"
"6.225E+12	atomorelax	100		1/8/2025	1"
"6.223E+12	allerban 1mg	21		23/12/2026	2"
"6.223E+12	all vent 125m mg	22		1/11/2026	9"
"6.22104E+12	aironyl	14		1/3/2026	3"
"6.22105E+12	augmentine	95.5		1/4/2025	2"
"6.223E+12	antidizox	16		1/9/2025	1"
"6.22105E+12	babino	40		23/8/2026	2"
"6.223E+12	bisolvon	20		1/2/2025	3"
"6.22105E+12	Balsam froty	42		1/8/2026	5"
"6.223E+12	bronchicum	45		1/3/2025	9"
"6.22401E+12	bacticlor	95		1/10/2025	3"
"8.00266E+12	brofine 100	28		1/10/2026	9"
"6.22201E+12	cefixime 60	42		1/12/2025	6"
"6.22201E+12	cefixime 30	28		1/12/2025	6"
"6.22301E+12	ceafen-n	16.5		1/5/2026	5"
"6.22401E+12	contafever  n	21		23/12/2025	4"
"6.224E+12	cerebrofote	47		23/7/2026	3"
"6.22103E+12	cyrinol                             	17		1/4/2026	1"
"6.223E+12	codaphen-n	13.5		1/2/2026	1"
"6.223E+12	carnitol	64.5		1/7/2026	1"
"6.223E+12	cerebroprove	60		23/7/2025	1"
"6.223E+12	curam 312mg/5	49.5		1/7/2026	2"
"6.223E+12	curam 457mg/5	58.5		1/7/2026	4"
"6.22103E+12	cetal	21		1/12/2026	4"
"6.22105E+12	congeastal    	31		23/9/2026	7"
"	cataflay	43		1/8/2025	7"
"6.22108E+12	codilar	14		1/11/2025	4"
